layer,from_token,to_token,attention_score
1,Disc,Disc,1.0
1,Disc,rete,0.0
1,Disc,·mathematics,0.0
1,Disc,·is,0.0
1,Disc,·essential,0.0
1,Disc,·for,0.0
1,Disc,·programming,0.0
1,Disc,.,0.0
1,rete,Disc,0.693974
1,rete,rete,0.306026
1,rete,·mathematics,0.0
1,rete,·is,0.0
1,rete,·essential,0.0
1,rete,·for,0.0
1,rete,·programming,0.0
1,rete,.,0.0
1,·mathematics,Disc,0.41965
1,·mathematics,rete,0.135524
1,·mathematics,·mathematics,0.444826
1,·mathematics,·is,0.0
1,·mathematics,·essential,0.0
1,·mathematics,·for,0.0
1,·mathematics,·programming,0.0
1,·mathematics,.,0.0
1,·is,Disc,0.27425
1,·is,rete,0.090403
1,·is,·mathematics,0.165323
1,·is,·is,0.470023
1,·is,·essential,0.0
1,·is,·for,0.0
1,·is,·programming,0.0
1,·is,.,0.0
1,·essential,Disc,0.22476
1,·essential,rete,0.090615
1,·essential,·mathematics,0.10967
1,·essential,·is,0.129249
1,·essential,·essential,0.445706
1,·essential,·for,0.0
1,·essential,·programming,0.0
1,·essential,.,0.0
1,·for,Disc,0.162488
1,·for,rete,0.073662
1,·for,·mathematics,0.090982
1,·for,·is,0.141287
1,·for,·essential,0.164349
1,·for,·for,0.367232
1,·for,·programming,0.0
1,·for,.,0.0
1,·programming,Disc,0.199148
1,·programming,rete,0.072441
1,·programming,·mathematics,0.099804
1,·programming,·is,0.065274
1,·programming,·essential,0.088865
1,·programming,·for,0.084088
1,·programming,·programming,0.39038
1,·programming,.,0.0
1,.,Disc,0.137335
1,.,rete,0.063539
1,.,·mathematics,0.071238
1,.,·is,0.105737
1,.,·essential,0.069488
1,.,·for,0.102667
1,.,·programming,0.10437
1,.,.,0.345625
2,Disc,Disc,1.0
2,Disc,rete,0.0
2,Disc,·mathematics,0.0
2,Disc,·is,0.0
2,Disc,·essential,0.0
2,Disc,·for,0.0
2,Disc,·programming,0.0
